"","X.1","X","x","y","along","z","id","long","lat"
"1",1,1,489456.171331875,5457755.83804593,1,11.9873425087656,1,-123.144946885892,49.2724703112858
"2",2,1010,489460.813513878,5457763.54276761,10,12.361763195416,10,-123.144883272615,49.2725396965345
"3",3,1910,489466.651884159,5457771.66383624,20,12.7340814841232,19,-123.144803226031,49.2726128474641
"4",4,4,489472.932554207,5457779.44143307,30,13.0977313486044,4,-123.144717089835,49.2726829163692
"5",5,3810,489479.354960148,5457787.10896365,40,13.4414122074913,38,-123.144629002041,49.2727519975846
"6",6,4710,489485.777366088,5457794.77649423,50,13.7708804686115,47,-123.144540914001,49.2728210787323
"7",7,6,489492.266676954,5457802.38736239,60,14.0918271638829,6,-123.144451904474,49.2728896512745
"8",8,6610,489499.261112995,5457809.47058641,70,14.3887468810391,66,-123.144355936809,49.2729534861796
"9",9,75,489507.172852785,5457815.58963019,80,14.7718833300999,75,-123.144247333258,49.2730086637917
"10",10,8,489515.427989916,5457821.21859601,90,15.134766134025,8,-123.144133995869,49.2730594388605
"11",11,94,489523.880457269,5457826.56594291,100,15.4970236003521,94,-123.144017938132,49.2731076839918
"12",12,103,489532.332924621,5457831.91328981,110,15.8040831973431,103,-123.143901880168,49.2731559290062
"13",13,10,489540.961252054,5457836.94085883,120,16.0512417136038,10,-123.143783396026,49.273201300459
"14",14,122,489550.003979209,5457841.21489776,130,16.3633068163987,122,-123.143659195126,49.2732399007493
"15",15,131,489559.046706364,5457845.48893669,140,16.6398027970139,131,-123.143534994031,49.273278500906
"16",16,12,489568.089433518,5457849.76297563,150,16.9172174890526,12,-123.143410792742,49.2733171009291
"17",17,150,489577.132160673,5457854.03701456,160,17.1938653482891,150,-123.14328659126,49.2733557008186
"18",18,159,489586.174887828,5457858.31105349,170,17.4847132516349,159,-123.143162389583,49.2733943005746
"19",19,14,489595.217614982,5457862.58509243,180,17.769171242467,14,-123.143038187712,49.2734329001969
"20",20,178,489604.260342137,5457866.85913136,190,18.1012941461447,178,-123.142913985647,49.2734714996857
"21",21,187,489613.303069291,5457871.13317029,200,18.4081619960471,187,-123.142789783389,49.2735100990409
"22",22,16,489622.126581768,5457875.84032798,210,18.6923612866136,16,-123.14266860579,49.2735525905141
"23",23,206,489630.925333074,5457880.59640816,220,18.9824394093539,206,-123.142547769651,49.2735955215058
"24",24,215,489639.724084379,5457885.35248834,230,19.3032664935263,215,-123.142426933303,49.273638452371
"25",25,18,489648.795581437,5457889.55861438,240,19.599520716757,18,-123.142302332976,49.2736764408021
"26",26,234,489657.906717999,5457893.68481284,250,19.8972603754536,234,-123.142177185452,49.2737137108078
"27",27,243,489667.017854562,5457897.8110113,260,20.2151390302266,243,-123.142052037739,49.2737509806779
"28",28,20,489676.111554104,5457901.97412592,270,20.4876434323363,20,-123.141927130503,49.2737885821847
"29",29,262,489685.085699571,5457906.39035014,280,20.7912318028266,262,-123.141803873164,49.2738284583007
"30",30,271,489694.059845037,5457910.80657435,290,21.1100385803956,271,-123.141680615625,49.2738683342852
"31",31,22,489703.033990504,5457915.22279857,300,21.4030570043141,22,-123.141557357888,49.273908210138
"32",32,290,489712.008135971,5457919.63902279,310,21.7447848415688,290,-123.141434099952,49.2739480858593
"33",33,299,489720.982281438,5457924.055247,320,21.999300725956,299,-123.141310841817,49.273987961449
"34",34,24,489729.956426904,5457928.47147122,330,22.2995722619043,24,-123.141187583482,49.2740278369072
"35",35,318,489738.930572371,5457932.88769544,340,22.6087384885029,318,-123.141064324949,49.2740677122337
"36",36,327,489747.904717838,5457937.30391965,350,22.9120678594369,327,-123.140941066217,49.2741075874287
"37",37,26,489756.878863305,5457941.72014387,360,23.2311880040674,26,-123.140817807287,49.2741474624921
"38",38,346,489765.853008771,5457946.13636809,370,23.5196190075068,346,-123.140694548157,49.2741873374239
"39",39,355,489774.827154238,5457950.5525923,380,23.828924553236,355,-123.140571288828,49.2742272122241
"40",40,28,489783.801299705,5457954.96881652,390,24.1217571660423,28,-123.1404480293,49.2742670868928
"41",41,374,489792.775445172,5457959.38504074,400,24.3900602293961,374,-123.140324769574,49.2743069614298
"42",42,383,489801.749590638,5457963.80126495,410,24.698187305075,383,-123.140201509648,49.2743468358353
"43",43,30,489810.723736105,5457968.21748917,420,24.9928758443976,30,-123.140078249524,49.2743867101092
"44",44,402,489819.697881572,5457972.63371339,430,25.2988836042266,402,-123.139954989201,49.2744265842515
"45",45,411,489828.672027038,5457977.0499376,440,25.5961914784808,411,-123.139831728678,49.2744664582622
"46",46,32,489837.649731913,5457981.45889202,450,25.9251467115158,32,-123.139708418839,49.2745062668075
"47",47,430,489846.641526112,5457985.83907013,460,26.2448813405439,430,-123.139584914376,49.2745458166076
"48",48,439,489855.633320312,5457990.21924824,470,26.5355262561888,439,-123.139461409716,49.2745853662756
"49",49,34,489864.625114512,5457994.59942635,480,26.8078544633858,34,-123.139337904857,49.2746249158115
"50",50,458,489873.616908711,5457998.97960445,490,27.1098646153446,458,-123.139214399802,49.2746644652152
"51",51,467,489882.608702911,5458003.35978256,500,27.423081230429,467,-123.139090894548,49.2747040144869
"52",52,36,489891.600497111,5458007.73996067,510,27.7334818252261,36,-123.138967389097,49.2747435636265
"53",53,486,489900.59229131,5458012.12013878,520,28.0242156538834,486,-123.138843883447,49.2747831126339
"54",54,495,489909.58408551,5458016.50031689,530,28.3329180903001,495,-123.138720377601,49.2748226615093
"55",55,38,489918.57587971,5458020.880495,540,28.6425381415004,38,-123.138596871556,49.2748622102525
"56",56,514,489927.567673909,5458025.26067311,550,28.9610830869075,514,-123.138473365314,49.2749017588636
"57",57,523,489936.559468109,5458029.64085121,560,29.2675585247427,523,-123.138349858874,49.2749413073427
"58",58,40,489945.551262308,5458034.02102932,570,29.5473246465567,40,-123.138226352237,49.2749808556895
"59",59,542,489954.543056508,5458038.40120743,580,29.8536353600284,542,-123.138102845402,49.2750204039044
"60",60,551,489963.534850708,5458042.78138554,590,30.1456083894066,551,-123.137979338369,49.275059951987
"61",61,42,489972.526644907,5458047.16156365,600,30.4523233697687,42,-123.137855831138,49.2750994999376
"62",62,570,489981.518439107,5458051.54174176,610,30.7403996360002,570,-123.13773232371,49.2751390477561
"63",63,579,489990.510233307,5458055.92191987,620,31.0409266175485,579,-123.137608816084,49.2751785954424
"64",64,44,489999.502027506,5458060.30209797,630,31.3438568342746,44,-123.13748530826,49.2752181429967
"65",65,598,490008.493821706,5458064.68227608,640,31.5219752447758,598,-123.137361800239,49.2752576904188
"66",66,607,490017.485615906,5458069.06245419,650,31.6908697480514,607,-123.13723829202,49.2752972377088
"67",67,46,490026.477410105,5458073.4426323,660,31.8772534511622,46,-123.137114783603,49.2753367848667
"68",68,626,490035.469204305,5458077.82281041,670,32.0352175995501,626,-123.136991274989,49.2753763318925
"69",69,635,490044.460998505,5458082.20298852,680,32.1253597876965,635,-123.136867766176,49.2754158787861
"70",70,48,490053.452792704,5458086.58316663,690,32.182859067164,48,-123.136744257167,49.2754554255477
"71",71,654,490062.430994851,5458090.99103331,700,32.2403583466314,654,-123.136620935509,49.2754952210193
"72",72,663,490071.396043094,5458095.425696,710,32.0618553596271,663,-123.136497795156,49.27553525718
"73",73,50,490080.361091337,5458099.86035869,720,31.8887491183427,50,-123.136374654604,49.2755752932093
"74",74,682,490089.32613958,5458104.29502138,730,31.7129996558792,682,-123.136251513852,49.2756153291073
"75",75,691,490098.291187823,5458108.72968407,740,31.4293272688056,691,-123.136128372901,49.2756553648739
"76",76,52,490107.256236066,5458113.16434677,750,31.1288789398567,52,-123.13600523175,49.2756954005092
"77",77,710,490116.221284309,5458117.59900946,760,30.8054555150106,710,-123.1358820904,49.2757354360132
"78",78,719,490125.186332552,5458122.03367215,770,30.4996421899151,719,-123.13575894885,49.2757754713859
"79",79,54,490134.151380795,5458126.46833484,780,30.1748563413904,54,-123.1356358071,49.2758155066272
"80",80,738,490143.116429038,5458130.90299754,790,29.8613280782791,738,-123.135512665151,49.2758555417371
"81",81,747,490152.081477281,5458135.33766023,800,29.5912435921058,747,-123.135389523003,49.2758955767158
"82",82,56,490161.046525523,5458139.77232292,810,29.2646183918345,56,-123.135266380655,49.275935611563
"83",83,766,490170.011573766,5458144.20698561,820,28.9901843379537,766,-123.135143238107,49.275975646279
"84",84,775,490178.976622009,5458148.6416483,830,28.6827135422174,775,-123.13502009536,49.2760156808636
"85",85,58,490187.941670252,5458153.076311,840,28.3480189124705,58,-123.134896952413,49.2760557153168
"86",86,794,490196.906718495,5458157.51097369,850,28.0743586608813,794,-123.134773809267,49.2760957496387
"87",87,803,490205.871766738,5458161.94563638,860,27.7550442367625,803,-123.134650665921,49.2761357838293
"88",88,60,490214.836814981,5458166.38029907,870,27.4357298126438,60,-123.134527522376,49.2761758178885
"89",89,822,490223.801863224,5458170.81496176,880,27.151569514399,822,-123.134404378631,49.2762158518164
"90",90,831,490232.766911467,5458175.24962446,890,26.838430957027,831,-123.134281234687,49.276255885613
"91",91,62,490241.73195971,5458179.68428715,900,26.5852650383189,62,-123.134158090543,49.2762959192781
"92",92,850,490250.697007953,5458184.11894984,910,26.3146187816343,850,-123.1340349462,49.276335952812
"93",93,859,490259.662056195,5458188.55361253,920,26.0096195846453,859,-123.133911801657,49.2763759862145
"94",94,64,490268.627104438,5458192.98827523,930,25.692097077844,64,-123.133788656915,49.2764160194856
"95",95,878,490277.592152681,5458197.42293792,940,25.411452391358,878,-123.133665511973,49.2764560526254
"96",96,887,490286.557200924,5458201.85760061,950,25.090829047785,887,-123.133542366831,49.2764960856339
"97",97,66,490295.522249167,5458206.2922633,960,24.7874849303361,66,-123.13341922149,49.276536118511
"98",98,906,490304.608408327,5458210.47093514,970,24.4815697347757,906,-123.133294404689,49.2765738504991
"99",99,915,490313.722862165,5458214.58980081,980,24.2367238311673,915,-123.133169197249,49.2766110448346
"100",100,68,490322.906023202,5458218.55070985,990,23.9095556842381,68,-123.133043041197,49.276646819277
"101",101,934,490332.133357567,5458222.4100652,1000,23.655689732726,934,-123.132916275204,49.2766816807886
"102",102,943,490341.360691932,5458226.26942055,1010,23.5303913190855,943,-123.132789509032,49.276716542161
